bulk modulus samples [N/mm^2],shear modulus samples [N/mm^2]
155405.381609554,73879.2161654416
130469.422390793,76585.6152719041
123433.486677266,70861.2047755351
113781.808747649,72833.7195177102
131687.714261678,75878.2520291608
127769.04302422,70927.8781289217
143206.37672538,77846.0249236972
140862.966000341,74767.4161535913
138333.978082219,74961.1309318753
136597.852658778,74342.82802113
121346.582253535,75237.7864227074
127884.413948901,73405.3247196588
129364.779761207,75444.3659337391
115552.067369393,78107.319475016
121986.948648891,74687.7505041033
122138.217010166,76233.9394897091
117947.21534714,70684.4052561676
113456.951193587,70977.9450243619
143916.267284789,75442.7447607222
129191.883209524,76277.0610524749
118906.116352529,73132.0953223693
113708.888504083,72169.8393061425
123005.133095751,75827.098273337
121402.910659626,73073.4967766171
118364.34134719,75392.7275690684
134783.975282852,76615.9641611263
150901.800350377,71364.8019137833
130558.591162567,74409.6408406272
119919.76651428,71023.6906500846
134109.563116114,73123.9490171864
129173.936363966,73292.2558216269
120606.124405488,73088.4482381817
144361.373406001,76070.1699273462
130552.776464174,75514.7349071304
119872.109566869,74095.924227825
123625.996788711,76029.108832809
112493.779592027,71505.2419843126
118654.604780566,73052.783193615
155018.872059318,74868.4908211629
132813.568628017,73380.7245017244
125328.567022121,72187.6499634264
129406.916746861,73214.8577952705
123883.861717918,71615.2696140403
122844.107994424,72534.206657522
137821.752198115,74065.3316398799
121463.929964836,71291.1999365547
111623.308687567,70815.6912723364
129240.197240648,73053.3332577646
138692.960022943,72679.4166248051
130107.958921781,72633.8518662519
127414.298539388,75319.1433900145
153155.377073926,75102.6687991214
133277.136606688,75106.9473420422
118382.425046327,73072.0226563813
121102.937681161,73400.6815690364
145590.310691828,75167.142213492
110898.392542588,74257.499598459
117607.932407143,73593.8935317328
141756.520064427,71727.677228185
141219.316220107,74115.1834192173
127665.026081788,75170.3922911878
139436.464467805,72118.6560749866
127481.302954362,74816.919825182
128834.474112082,72988.1774293937
131975.041902526,70200.3708185332
135831.096570946,74394.7504756591
131754.09010911,72473.2566161446
137539.447570523,74723.4693299333
142417.615877839,71968.5183796651
126904.779703653,75641.9055550393
132265.182085462,75089.0109683856
139384.794725326,74392.351282041
147776.727111333,77028.3466532341
127441.109049246,74976.2550903926
120785.375287078,72391.5540501386
113179.776669434,72532.3972133705
142529.180943832,73917.1551675753
117766.491270585,72893.2121457303
135201.304229109,73515.0788870917
137205.798743207,76415.1564638579
140961.604750256,73113.4772417697
121629.64149267,73892.1048391947
137591.001325453,72449.5848552791
164390.065131854,75365.2546700428
126302.059136821,72538.255862056
143564.890308233,76115.9069291949
138140.441564646,72311.4600249137
146201.8349839,73923.7456039632
159173.688987883,75407.3655244552
109557.389586673,70734.839208262
143388.820001027,73371.9434926812
112360.582907522,71435.6033083303
131514.783057249,72842.7341618679
155194.874115547,78174.3620367544
133103.660326293,73517.7552125208
133506.48080475,75659.0927807881
129260.833581946,76571.9898491745
143426.160916456,76581.9800311755
127338.845090374,73908.4971731743
134304.117586525,73963.9292627443
155405.381609554,73879.2161654416
145137.102489162,78752.6512047855
123433.486677266,70861.2047755351
118765.352792882,73940.3938222937
131687.714261678,75878.2520291608
127769.04302422,70927.8781289217
143206.37672538,77846.0249236972
134125.204542559,74319.6084903096
136221.727043312,73775.4991478471
132754.239078115,74274.5279726714
121346.582253535,75237.7864227074
128062.577721607,73424.0229032218
128904.894518905,75492.6498948643
115552.067369393,78107.319475016
121986.948648891,74687.7505041033
122138.217010166,76233.9394897091
128491.179067858,73240.90306177
132866.2613029,74176.0818996951
151314.73312427,75667.3665306345
126543.50072203,75187.7949815792
118906.116352529,73132.0953223693
113708.888504083,72169.8393061425
123583.785966612,76487.674331922
121402.910659626,73073.4967766171
118364.34134719,75392.7275690684
134783.975282852,76615.9641611263
148244.471588623,71518.6338093245
119394.643156458,75659.7476782143
119919.76651428,71023.6906500846
136824.210960371,73406.0269032543
128046.403340365,73099.3518311122
120375.885250737,73092.7686087391
146009.423918112,76532.5301336483
146722.449284755,76001.1646172596
119872.109566869,74095.924227825
123625.996788711,76029.108832809
115097.860441753,72020.0241249909
118654.604780566,73052.783193615
148455.644999843,74745.3713598123
132813.568628017,73380.7245017244
125328.567022121,72187.6499634264
129406.916746861,73214.8577952705
129062.376399216,71933.5141714174
134931.475530554,74641.5642012171
130855.616395197,73644.5189817298
121463.929964836,71291.1999365547
100663.060461352,71043.228995978
153892.626547483,74982.938070536
137736.807188333,72136.0203721875
130107.958921781,72633.8518662519
122852.592801612,76386.7928401351
153155.377073926,75102.6687991214
125683.117292138,74314.8854145247
116791.452708562,72879.8209250241
121102.937681161,73400.6815690364
145590.310691828,75167.142213492
110898.392542588,74257.499598459
119077.820792035,74115.9068711515
143065.896422464,73979.9878457208
138413.963258465,73873.8148433494
128220.425088194,75018.8137554562
131919.999050591,72387.3192554369
127461.486089708,74895.47714317
128834.474112082,72988.1774293937
132798.2078153,70412.001646338
141166.985427515,74281.820767341
131754.09010911,72473.2566161446
135166.866501038,74393.2416721506
142417.615877839,71968.5183796651
125776.704824685,77256.143447811
142121.167779932,75878.7948330122
138366.062470704,74498.1599685074
147776.727111333,77028.3466532341
136092.824262781,76009.2459245633
120785.375287078,72391.5540501386
113076.015400213,72547.943546255
134415.178079569,72905.678575762
117766.491270585,72893.2121457303
135201.304229109,73515.0788870917
137205.798743207,76415.1564638579
135637.649017395,72929.1328060904
121629.64149267,73892.1048391947
137591.001325453,72449.5848552791
164390.065131854,75365.2546700428
126302.059136821,72538.255862056
143564.890308233,76115.9069291949
138140.441564646,72311.4600249137
145048.609389951,73921.6761849995
159173.688987883,75407.3655244552
116396.297357498,71589.2987754653
143388.820001027,73371.9434926812
112360.582907522,71435.6033083303
131514.783057249,72842.7341618679
155194.874115547,78174.3620367544
141390.475124358,74545.7059248452
136429.374579396,75666.7024005476
130698.594925722,78175.0435358462
142739.723568776,75615.9197368994
127338.845090374,73908.4971731743
146402.963804653,74747.2606486629
155405.381609554,73879.2161654416
145137.102489162,78752.6512047855
123625.815817378,71049.6868413093
118765.352792882,73940.3938222937
126495.08194301,73914.7546111266
130233.726241693,71781.5335048596
143206.37672538,77846.0249236972
134125.204542559,74319.6084903096
136221.727043312,73775.4991478471
132754.239078115,74274.5279726714
121346.582253535,75237.7864227074
128062.577721607,73424.0229032218
128904.894518905,75492.6498948643
116747.026124077,76802.1977352657
117386.316717024,74002.9979230249
122138.217010166,76233.9394897091
128491.179067858,73240.90306177
133751.489484842,74251.2904927757
151314.73312427,75667.3665306345
126543.50072203,75187.7949815792
113816.466262667,73012.4739746826
128160.713884192,72670.2404604548
123583.785966612,76487.674331922
113769.662915125,72511.2603330537
118364.34134719,75392.7275690684
134783.975282852,76615.9641611263
148244.471588623,71518.6338093245
119394.643156458,75659.7476782143
119919.76651428,71023.6906500846
131097.056679016,73282.5320421655
128046.403340365,73099.3518311122
120375.885250737,73092.7686087391
146009.423918112,76532.5301336483
142103.692273089,75022.2026224456
123701.400858943,74175.9649321774
123625.996788711,76029.108832809
115097.860441753,72020.0241249909
118654.604780566,73052.783193615
152974.889997432,75337.5185055326
131979.784927417,73327.8779566462
125328.567022121,72187.6499634264
132501.858628495,72733.3171715036
130598.022603793,70171.3471910373
140335.155628141,72712.0940289013
132765.194073828,75088.940316472
121463.929964836,71291.1999365547
100663.060461352,71043.228995978
147912.472125248,73411.9856972609
131553.189573252,72433.098802145
132710.284174161,73022.3403423614
122852.592801612,76386.7928401351
139749.804729384,75523.2485327468
129195.644999887,74681.2446969309
109423.0062858,71989.6557560576
124834.770507678,73851.5157622945
147943.287183292,74958.5133041139
110898.392542588,74257.499598459
121555.045989331,74184.2088476413
143065.896422464,73979.9878457208
140890.823770819,71636.2063956389
128220.425088194,75018.8137554562
131919.999050591,72387.3192554369
127461.486089708,74895.47714317
128834.474112082,72988.1774293937
129772.333332172,72349.9488259087
141166.985427515,74281.820767341
131754.09010911,72473.2566161446
135166.866501038,74393.2416721506
137328.016509148,72376.6148960857
125776.704824685,77256.143447811
142581.432268158,74968.5967281872
138366.062470704,74498.1599685074
138353.644097476,74395.7660934929
124845.115133335,74757.660699041
120785.375287078,72391.5540501386
132608.368980025,73926.0733614531
134415.178079569,72905.678575762
117766.491270585,72893.2121457303
132570.578821123,74081.7573018339
131821.807071382,74211.1054451612
133419.975412032,72158.6610961416
139544.222853815,73282.1204679231
114550.386655876,70600.5402288762
164390.065131854,75365.2546700428
132110.37882686,73916.6130548104
143564.890308233,76115.9069291949
140808.258132554,71392.5289644488
144101.183775955,73878.8638204969
159173.688987883,75407.3655244552
116396.297357498,71589.2987754653
143388.820001027,73371.9434926812
141509.049539911,74602.1313520732
131514.783057249,72842.7341618679
155194.874115547,78174.3620367544
140188.423900601,74207.9234750438
